187,612;Urząd Skarbowy;Bolesławiec;59-700;Garncarska 10;20101016740004332221000000;67101016740004332222000000;17101016740004332223000000;11101016740004332227000000
457,881;Urząd Skarbowy;Bystrzyca Kłodzka;57-500;Adama Mickiewicza 5;98101016740023782221000000;48101016740023782222000000;95101016740023782223000000;89101016740023782227000000
458,882;Urząd Skarbowy;Dzierżoniów;58-200;Pocztowa 14;88101016740008952221000000;38101016740008952222000000;85101016740008952223000000;79101016740008952227000000
273,693;Urząd Skarbowy;Głogów;67-200;Adama Mickiewicza 53;09101016740006352221000000;56101016740006352222000000;06101016740006352223000000;97101016740006352227000000
274,695;Urząd Skarbowy;Jawor;59-400;Jurija Gagarina 5;54101016740006642221000000;04101016740006642222000000;51101016740006642223000000;45101016740006642227000000
6;Urząd Skarbowy;Jelenia Góra;58-500;Wolności 121;06101016740008402221000000;53101016740008402222000000;03101016740008402223000000;94101016740008402227000000
7;Urząd Skarbowy;Kamienna Góra;58-400;Papieża Jana Pawła II 18;13101016740004912221000000;60101016740004912222000000;10101016740004912223000000;04101016740004912227000000
8;Urząd Skarbowy;Kłodzko;57-300;Stanisławy Walasiewiczówny 1;66101016740020752221000000;16101016740020752222000000;63101016740020752223000000;57101016740020752227000000
9;Urząd Skarbowy;Legnica;59-220;Najświętszej Marii Panny 3;15101016740032322221000000;62101016740032322222000000;12101016740032322223000000;06101016740032322227000000
10;Urząd Skarbowy;Lubań;59-800;Stara 1;28101016740008242221000000;75101016740008242222000000;25101016740008242223000000;19101016740008242227000000
11;Urząd Skarbowy;Lubin;59-300;Marii Skłodowskiej-Curie 94;36101016740020882221000000;83101016740020882222000000;33101016740020882223000000;27101016740020882227000000
12;Urząd Skarbowy;Lwówek Śląski;59-600;Budowlanych 1;04101016740013972221000000;51101016740013972222000000;98101016740013972223000000;92101016740013972227000000
13;Urząd Skarbowy;Milicz;56-300;Składowa 2;02101016740006932221000000;49101016740006932222000000;96101016740006932223000000;90101016740006932227000000
14;Urząd Skarbowy;Nowa Ruda;57-400;Kolejowa 23;89101016740024112221000000;39101016740024112222000000;86101016740024112223000000;80101016740024112227000000
15;Urząd Skarbowy;Oleśnica;56-400;Lwowska 34-38;25101016740098562221000000;72101016740098562222000000;22101016740098562223000000;16101016740098562227000000
16;Urząd Skarbowy;Oława;55-200;Lwowska 1;48101016740039842221000000;95101016740039842222000000;45101016740039842223000000;39101016740039842227000000
17;Urząd Skarbowy;Strzelin;57-100;Bolka I Świdnickiego 14;21101016740008822221000000;68101016740008822222000000;18101016740008822223000000;12101016740008822227000000
18;Urząd Skarbowy;Środa Śląska;55-300;Oławska 5A;61101016740044862221000000;11101016740044862222000000;58101016740044862223000000;52101016740044862227000000
19;Urząd Skarbowy;Świdnica;58-100;Marii Skłodowskiej-Curie 1-3;43101016740054252221000000;90101016740054252222000000;40101016740054252223000000;
20;Urząd Skarbowy;Trzebnica;55-100;Prusicka 2;44101016740045162221000000;91101016740045162222000000;41101016740045162223000000;35101016740045162227000000
21;Urząd Skarbowy;Wałbrzych;58-306;Uczniowska 21;58101016740046912221000000;08101016740046912222000000;55101016740046912223000000;49101016740046912227000000
22;Urząd Skarbowy;Wołów;56-100;Tadeusza Kościuszki 17;83101016740057312221000000;33101016740057312222000000;80101016740057312223000000;74101016740057312227000000
23;Urząd Skarbowy Wrocław-Fabryczna;Wrocław;53-238;Aleksandra Ostrowskiego 5;02101016740014692221000000;49101016740014692222000000;96101016740014692223000000;90101016740014692227000000
24;Urząd Skarbowy Wrocław-Krzyki;Wrocław;53-310;Sztabowa 100;77101016740014852221000000;27101016740014852222000000;74101016740014852223000000;68101016740014852227000000
25;Urząd Skarbowy Wrocław-Psie Pole;Wrocław;50-231;Trzebnicka 33;27101016740017332221000000;74101016740017332222000000;24101016740017332223000000;18101016740017332227000000
26;Urząd Skarbowy Wrocław-Stare Miasto;Wrocław;53-654;Inowrocławska 4;61101016740006062221000000;11101016740006062222000000;58101016740006062223000000;52101016740006062227000000
27;Pierwszy Urząd Skarbowy;Wrocław;50-515;Księdza Czesława Klimasa 34;04101016740000392221000000;51101016740000392222000000;98101016740000392223000000;92101016740000392227000000
28;Urząd Skarbowy Wrocław-Śródmieście;Wrocław;50-044;Marszałka Józefa Piłsudskiego 27/29;41101016740005502221000000;88101016740005502222000000;38101016740005502223000000;32101016740005502227000000
29;Urząd Skarbowy;Ząbkowice Śląskie;57-200;Ludwika Waryńskiego 2A;88101016740020592221000000;38101016740020592222000000;85101016740020592223000000;79101016740020592227000000
30;Urząd Skarbowy;Zgorzelec;59-900;Bohaterów II Armii Wojska Polskiego 8B;43101016740012542221000000;90101016740012542222000000;40101016740012542223000000;34101016740012542227000000
31;Urząd Skarbowy;Złotoryja;59-500;Rynek 42;19101016740021182221000000;66101016740021182222000000;16101016740021182223000000;10101016740021182227000000
32;Urząd Skarbowy;Aleksandrów Kujawski;87-700;Kościelna 18;51101010780024112221000000;98101010780024112222000000;48101010780024112223000000;42101010780024112227000000
33;Urząd Skarbowy;Brodnica;87-300;Generała Władysława Sikorskiego 19;58101010780016742221000000;08101010780016742222000000;55101010780016742223000000;49101010780016742227000000
34;Pierwszy Urząd Skarbowy;Bydgoszcz;85-950;Fordońska 77;93101010780000262221000000;43101010780000262222000000;90101010780000262223000000;84101010780000262227000000
35;Drugi Urząd Skarbowy;Bydgoszcz;85-822;Wojska Polskiego 20B;42101010780050632221000000;89101010780050632222000000;39101010780050632223000000;33101010780050632227000000
36;Trzeci Urząd Skarbowy;Bydgoszcz;85-032;Tadeusza Rejtana 5;09101010780060572221000000;56101010780060572222000000;06101010780060572223000000;97101010780060572227000000
37;Urząd Skarbowy;Chełmno;86-200;Grudziądzka 6;28101010780016872221000000;75101010780016872222000000;25101010780016872223000000;19101010780016872227000000
38;Urząd Skarbowy;Golub-Dobrzyń;87-400;Dr J.G. Koppa 1A;89101010780053112221000000;39101010780053112222000000;86101010780053112223000000;80101010780053112227000000
39;Urząd Skarbowy;Grudziądz;86-300;Droga Łąkowa 23;70101010780026002221000000;20101010780026002222000000;67101010780026002223000000;61101010780026002227000000
40;Urząd Skarbowy;Inowrocław;88-100;al. Niepodległości 5;03101010780089892221000000;50101010780089892222000000;97101010780089892223000000;91101010780089892227000000
41;Urząd Skarbowy;Lipno;87-600;Stanisława Staszica 4;21101010780024242221000000;68101010780024242222000000;18101010780024242223000000;12101010780024242227000000
42;Urząd Skarbowy;Mogilno;88-300;900-lecia 20;98101010780090612221000000;48101010780090612222000000;95101010780090612223000000;89101010780090612227000000
43;Urząd Skarbowy;Nakło n. Notecią;89-100;Sądowa 8;14101010780007362221000000;61101010780007362222000000;11101010780007362223000000;05101010780007362227000000
44;Urząd Skarbowy;Radziejów;88-200;Rolnicza 6;96101010780024402221000000;46101010780024402222000000;93101010780024402223000000;87101010780024402227000000
45;Urząd Skarbowy;Rypin;87-500;Dojazdowa 10;94101010780046462221000000;44101010780046462222000000;91101010780046462223000000;85101010780046462227000000
46;Urząd Skarbowy;Sępólno Krajeńskie;89-400;Tadeusza Kościuszki 22;71101010780055712221000000;21101010780055712222000000;68101010780055712223000000;62101010780055712227000000
47;Urząd Skarbowy;Świecie;86-100;10 Lutego 16;35101010780008532221000000;82101010780008532222000000;32101010780008532223000000;26101010780008532227000000
48;Pierwszy Urząd Skarbowy;Toruń;87-100;Szosa Chełmińska 34/36;17101010780039262221000000;64101010780039262222000000;14101010780039262223000000;08101010780039262227000000
49;Drugi Urząd Skarbowy;Toruń;87-100;Mazowiecka 63/65;85101010780026422221000000;35101010780026422222000000;82101010780026422223000000;76101010780026422227000000
50;Urząd Skarbowy;Tuchola;89-500;Plac Zamkowy 4;93101010780009962221000000;43101010780009962222000000;90101010780009962223000000;84101010780009962227000000
51;Urząd Skarbowy;Wąbrzeźno;87-200;Macieja Rataja 2;36101010780016902221000000;83101010780016902222000000;33101010780016902223000000;27101010780016902227000000
52;Urząd Skarbowy;Włocławek;87-800;Stefana Okrzei 72B;88101010780024372221000000;38101010780024372222000000;85101010780024372223000000;79101010780024372227000000
53;Urząd Skarbowy;Żnin;88-400;Klemensa Janickiego 18;40101010780026132221000000;87101010780026132222000000;37101010780026132223000000;31101010780026132227000000
54;Urząd Skarbowy;Biała Podlaska;21-500;Prosta 19;71101013390015312221000000;21101013390015312222000000;68101013390015312223000000;62101013390015312227000000
55;Urząd Skarbowy;Biłgoraj;23-400;Tadeusza Kościuszki 78;55101013390224772221000000;05101013390224772222000000;52101013390224772223000000;46101013390224772227000000
56;Urząd Skarbowy;Chełm;22-100;Obłońska 20A;88101013390137232221000000;38101013390137232222000000;85101013390137232223000000;79101013390137232227000000
57;Urząd Skarbowy;Hrubieszów;22-500;27 Wołyńskiej Dywizji Piechoty AK 11;29101013390239952221000000;76101013390239952222000000;26101013390239952223000000;20101013390239952227000000
58;Urząd Skarbowy;Janów Lubelski;23-300;Wojska Polskiego 32;21101013390001302221000000;68101013390001302222000000;18101013390001302223000000;12101013390001302227000000
59;Urząd Skarbowy;Krasnystaw;22-300;Rzeczna 5;27101013390019512221000000;74101013390019512222000000;24101013390019512223000000;18101013390019512227000000
60;Urząd Skarbowy;Kraśnik;23-200;Tadeusza Kościuszki 5;30101013390021342221000000;77101013390021342222000000;27101013390021342223000000;21101013390021342227000000
61;Urząd Skarbowy;Lubartów;21-100;Legionów 55;16101013390110772221000000;63101013390110772222000000;13101013390110772223000000;07101013390110772227000000
62;Pierwszy Urząd Skarbowy;Lublin;20-027;Sądowa 5;37101013390000392221000000;84101013390000392222000000;34101013390000392223000000;28101013390000392227000000
63;Drugi Urząd Skarbowy;Lublin;20-883;Tadeusza Szeligowskiego 24;40101013390091462221000000;87101013390091462222000000;37101013390091462223000000;31101013390091462227000000
64;Trzeci Urząd Skarbowy;Lublin;20-016;Prezydenta Gabriela Narutowicza 56;15101013390000552221000000;62101013390000552222000000;12101013390000552223000000;06101013390000552227000000
65;Urząd Skarbowy;Łuków;21-400;Międzyrzecka 72A;88101013390001432221000000;38101013390001432222000000;85101013390001432223000000;79101013390001432227000000
66;Urząd Skarbowy;Opole Lubelskie;24-300;Józefa Piłsudskiego 12;60101013390021212221000000;10101013390021212222000000;57101013390021212223000000;51101013390021212227000000
67;Urząd Skarbowy;Parczew;21-200;Żabia 2A;64101013390057602221000000;14101013390057602222000000;61101013390057602223000000;55101013390057602227000000
68;Urząd Skarbowy;Puławy;24-100;Władysława Grabskiego 4;24101013390020592221000000;71101013390020592222000000;21101013390020592223000000;15101013390020592227000000
69;Urząd Skarbowy;Radzyń Podlaski;21-300;Lubelska 1;33101013390053242221000000;80101013390053242222000000;30101013390053242223000000;24101013390053242227000000
70;Urząd Skarbowy;Tomaszów Lubelski;22-600;Rolnicza 17;98101013390221902221000000;48101013390221902222000000;95101013390221902223000000;89101013390221902227000000
71;Urząd Skarbowy;Włodawa;22-200;Rynek 9;23101013390004462221000000;70101013390004462222000000;20101013390004462223000000;14101013390004462227000000
72;Urząd Skarbowy;Zamość;22-400;Jana Kilińskiego 82;79101013390061902221000000;29101013390061902222000000;76101013390061902223000000;70101013390061902227000000
73;Urząd Skarbowy;Drezdenko;66-530;Pierwszej Brygady 21;68101017040059462221000000;18101017040059462222000000;65101017040059462223000000;59101017040059462227000000
74;Urząd Skarbowy;Gorzów Wielkopolski;66-400;Kazimierza Jagiellończyka 10;35101017040023812221000000;82101017040023812222000000;32101017040023812223000000;26101017040023812227000000
75;Urząd Skarbowy;Krosno Odrzańskie;66-600;Obrońców Stalingradu 3;15101017040047502221000000;62101017040047502222000000;12101017040047502223000000;06101017040047502227000000
76;Urząd Skarbowy;Międzyrzecz;66-300;Rynek 3;41101017040045902221000000;88101017040045902222000000;38101017040045902223000000;32101017040045902227000000
77;Urząd Skarbowy;Nowa Sól;67-100;Stanisława Staszica 1;23101017040034922221000000;70101017040034922222000000;20101017040034922223000000;14101017040034922227000000
78;Urząd Skarbowy;Słubice;69-100;Wojska Polskiego 155;05101017040048192221000000;52101017040048192222000000;02101017040048192223000000;93101017040048192227000000
79;Urząd Skarbowy;Sulęcin;69-200;Ignacego Daszyńskiego 47;98101017040059332221000000;48101017040059332222000000;95101017040059332223000000;89101017040059332227000000
80;Urząd Skarbowy;Świebodzin;66-200;Jana III Sobieskiego 6;88101017040056142221000000;38101017040056142222000000;85101017040056142223000000;79101017040056142227000000
81;Urząd Skarbowy;Wschowa;67-400;Zielony Rynek 7;31101017040059202221000000;78101017040059202222000000;28101017040059202223000000;22101017040059202227000000
82;Pierwszy Urząd Skarbowy;Zielona Góra;65-054;Doktora Pieniężnego 24;70101017040020912221000000;20101017040020912222000000;67101017040020912223000000;61101017040020912227000000
83;Drugi Urząd Skarbowy;Zielona Góra;65-054;Doktora Pieniężnego 24;75101017040055002221000000;25101017040055002222000000;72101017040055002223000000;66101017040055002227000000
84;Urząd Skarbowy;Żagań;68-100;X-lecia 26;02101017040033752221000000;49101017040033752222000000;96101017040033752223000000;90101017040033752227000000
85;Urząd Skarbowy;Żary;68-200;Osadników Wojskowych 3;15101017040055262221000000;62101017040055262222000000;12101017040055262223000000;06101017040055262227000000
86;Urząd Skarbowy;Bełchatów;97-400;Marszałka Józefa Piłsudskiego 18;71101013711411232221000000;21101013711411232222000000;68101013711411232223000000;62101013711411232227000000
87;Urząd Skarbowy;Brzeziny;95-060;Henryka Sienkiewicza 16;26101013710014142221000000;73101013710014142222000000;23101013710014142223000000;17101013710014142227000000
88;Urząd Skarbowy;Głowno;95-015;Ludwika Norblina 2;59101013710004202221000000;09101013710004202222000000;56101013710004202223000000;50101013710004202227000000
89;Urząd Skarbowy;Kutno;99-300;Doktora Antoniego Troczewskiego 12;90101013710020202221000000;40101013710020202222000000;87101013710020202223000000;81101013710020202227000000
90;Urząd Skarbowy;Łask;98-100;9 Maja 31;52101013710029032221000000;02101013710029032222000000;49101013710029032223000000;43101013710029032227000000
91;Urząd Skarbowy;Łowicz;99-400;Józefa Chełmońskiego 2;63101013710027982221000000;13101013710027982222000000;60101013710027982223000000;54101013710027982227000000
92;Pierwszy Urząd Skarbowy Łódź-Bałuty;Łódź;91-066;Zachodnia 47;21101013710000422221000000;68101013710000422222000000;18101013710000422223000000;12101013710000422227000000
93;Drugi Urząd Skarbowy Łódź-Bałuty;Łódź;91-222;Świętej Teresy 105;88101013710000552221000000;38101013710000552222000000;85101013710000552223000000;79101013710000552227000000
94;Pierwszy Urząd Skarbowy Łódź-Górna;Łódź;93-578;Generała Walerego Wróblewskiego 10;36101013710000842221000000;83101013710000842222000000;33101013710000842223000000;27101013710000842227000000
95;Drugi Urząd Skarbowy Łódź-Górna;Łódź;93-578;Generała Walerego Wróblewskiego 10;91101013710011112221000000;41101013710011112222000000;88101013710011112223000000;82101013710011112227000000
96;Urząd Skarbowy Łódź-Polesie;Łódź;90-646;6 Sierpnia 84/86;66101013710000712221000000;16101013710000712222000000;63101013710000712223000000;57101013710000712227000000
97;Urząd Skarbowy Łódź-Śródmieście;Łódź;90-019;Dowborczyków 9/11;58101013710000682221000000;08101013710000682222000000;55101013710000682223000000;49101013710000682227000000
98;Urząd Skarbowy Łódź-Widzew;Łódź;92-312;Papiernicza 7;06101013710000972221000000;53101013710000972222000000;03101013710000972223000000;94101013710000972227000000
99;Urząd Skarbowy;Opoczno;26-300;Piotrowska 14;93101013711411072221000000;43101013711411072222000000;90101013711411072223000000;84101013711411072227000000
100;Urząd Skarbowy;Pabianice;95-200;Zamkowa 26;29101013710004332221000000;76101013710004332222000000;26101013710004332223000000;20101013710004332227000000
101;Urząd Skarbowy;Piotrków Trybunalski;97-300;Wronia 65;71101013710060022221000000;21101013710060022222000000;68101013710060022223000000;62101013710060022227000000
102;Urząd Skarbowy;Poddębice;99-200;Narutowicza 12;76101013710011662221000000;26101013710011662222000000;73101013710011662223000000;67101013710011662227000000
103;Urząd Skarbowy;Radomsko;97-500;Mickiewicza 4;88101013711410932221000000;38101013711410932222000000;85101013711410932223000000;79101013711410932227000000
104;Urząd Skarbowy;Rawa Mazowiecka;96-200;Juliusza Słowackiego 4;35101013710034182221000000;82101013710034182222000000;32101013710034182223000000;26101013710034182227000000
105;Urząd Skarbowy;Sieradz;98-200;Spółdzielcza 3;47101013710023072221000000;94101013710023072222000000;44101013710023072223000000;38101013710023072227000000
106;Urząd Skarbowy;Skierniewice;96-100;Nowobielańska 61B;50101013710013262221000000;97101013710013262222000000;47101013710013262223000000;41101013710013262227000000
107;Urząd Skarbowy;Tomaszów Mazowiecki;97-200;Józefa Montwiłła Mireckiego 37;04101013711411102221000000;51101013711411102222000000;98101013711411102223000000;92101013711411102227000000
108;Urząd Skarbowy;Wieluń;98-300;Krakowskie Przedmieście 34;15101013710029742221000000;62101013710029742222000000;12101013710029742223000000;06101013710029742227000000
109;Urząd Skarbowy;Wieruszów;98-400;Rynek 12/13;53101013710003452221000000;03101013710003452222000000;50101013710003452223000000;44101013710003452227000000
110;Urząd Skarbowy;Zduńska Wola;98-220;Zielona 15;75101013710041122221000000;25101013710041122222000000;72101013710041122223000000;66101013710041122227000000
111;Urząd Skarbowy;Zgierz;95-100;Księdza Jerzego Popiełuszki 8;96101013710004462221000000;46101013710004462222000000;93101013710004462223000000;87101013710004462227000000
112;Urząd Skarbowy;Bochnia;32-700;Gołębia 3;25101012700029162221000000;72101012700029162222000000;22101012700029162223000000;16101012700029162227000000
113;Urząd Skarbowy;Brzesko;32-800;Królowej Jadwigi 16;18101012700029742221000000;65101012700029742222000000;15101012700029742223000000;09101012700029742227000000
114;Urząd Skarbowy;Chrzanów;32-500;Garncarska 9;34101012700011372221000000;81101012700011372222000000;31101012700011372223000000;25101012700011372227000000
115;Urząd Skarbowy;Dąbrowa Tarnowska;33-200;Berka Joselewicza 5;79101012700028152221000000;29101012700028152222000000;76101012700028152223000000;70101012700028152227000000
116;Urząd Skarbowy;Gorlice;38-300;Bardiowska 9;80101012700044282221000000;30101012700044282222000000;77101012700044282223000000;71101012700044282227000000
117;Pierwszy Urząd Skarbowy;Kraków;30-363;Rzemieślnicza 20;25101012700046622221000000;72101012700046622222000000;22101012700046622223000000;16101012700046622227000000
118;Drugi Urząd Skarbowy;Kraków;31-272;Krowoderskich Zuchów 2;83101012700009252221000000;33101012700009252222000000;80101012700009252223000000;74101012700009252227000000
119;Urząd Skarbowy Kraków-Krowodrza;Kraków;31-272;Krowoderskich Zuchów 2;62101012700004202221000000;12101012700004202222000000;59101012700004202223000000;53101012700004202227000000
120;Urząd Skarbowy Kraków-Nowa Huta;Kraków;31-621;os. Bohaterów Września 80;32101012700004332221000000;79101012700004332222000000;29101012700004332223000000;23101012700004332227000000
121;Urząd Skarbowy Kraków-Podgórze;Kraków;30-415;Wadowicka 10;02101012700004462221000000;49101012700004462222000000;96101012700004462223000000;90101012700004462227000000
122;Urząd Skarbowy Kraków-Prądnik;Kraków;31-272;Krowoderskich Zuchów 2;92101012700046752221000000;42101012700046752222000000;89101012700046752223000000;83101012700046752227000000
123;Urząd Skarbowy Kraków-Stare Miasto;Kraków;31-001;Grodzka 65;69101012700004592221000000;19101012700004592222000000;66101012700004592223000000;60101012700004592227000000
124;Urząd Skarbowy Kraków-Śródmieście;Kraków;31-272;Krowoderskich Zuchów 2;54101012700004172221000000;04101012700004172222000000;51101012700004172223000000;45101012700004172227000000
125;Urząd Skarbowy;Limanowa;34-600;Matki Boskiej Bolesnej 9;88101012700044312221000000;38101012700044312222000000;85101012700044312223000000;79101012700044312227000000
126;Urząd Skarbowy;Miechów;32-200;Stanisławy Daneckiej 1;75101012700005342221000000;25101012700005342222000000;72101012700005342223000000;66101012700005342227000000
127;Urząd Skarbowy;Myślenice;32-400;Hipolita Cegielskiego 2;47101012700004752221000000;94101012700004752222000000;44101012700004752223000000;38101012700004752227000000
128;Urząd Skarbowy;Nowy Sącz;33-300;Władysława Barbackiego 10;96101012700031732221000000;46101012700031732222000000;93101012700031732223000000;87101012700031732227000000
129;Urząd Skarbowy;Nowy Targ;34-400;Parkowa 13;56101012700020912221000000;06101012700020912222000000;53101012700020912223000000;47101012700020912227000000
130;Urząd Skarbowy;Olkusz;32-300;Budowlanych 2;93101012700029902221000000;43101012700029902222000000;90101012700029902223000000;84101012700029902227000000
131;Urząd Skarbowy;Oświęcim;32-600;Plebańska 2;81101012700035192221000000;31101012700035192222000000;78101012700035192223000000;72101012700035192227000000
132;Urząd Skarbowy;Proszowice;32-100;Mikołaja Reja 1;17101012700004882221000000;64101012700004882222000000;14101012700004882223000000;08101012700004882227000000
